,bowler,balls_bowled,runs_conceeded,wickets,Economy,Rating
143,S Randiv,12,19,0,9.5,8.0
144,J Botha,192,249,4,7.78125,8.5
145,D Christian,175,227,8,7.782857142857143,9.0
146,A Thomas,180,187,7,6.233333333333334,9.0
147,W Parnell,274,310,10,6.788321167883212,9.5
148,N Rimmington,12,13,0,6.5,8.0
149,J Wath,30,40,0,8.0,8.0
150,S Aravind,427,522,20,7.334894613583138,9.5
151,S Hasan,396,489,17,7.409090909090909,9.5
152,A Menaria,49,54,1,6.612244897959183,8.0
153,N Doshi,18,32,1,10.666666666666666,8.0
154,N Perera,180,218,6,7.266666666666666,9.0
155,A Ahmed,140,170,3,7.285714285714285,8.0
156,B Bhatt,96,115,4,7.1875,8.0
157,J Mohammad,18,14,1,4.666666666666667,8.0
158,N McCullum,12,12,0,6.0,8.0
159,J Taylor,48,49,0,6.125,8.0
160,K Kulasekara,66,77,3,7.0,8.0
161,B Sharma,74,75,4,6.081081081081082,8.0
162,P Parameswaran,36,65,2,10.833333333333334,8.0
163,B Kumar,1451,1402,48,5.797381116471399,9.5
164,V Aaron,374,521,13,8.358288770053477,8.25
165,A Chavan,144,150,3,6.25,8.0
166,A Rajan,42,43,0,6.142857142857142,8.0
167,J Faulkner,373,473,16,7.608579088471849,9.0
168,S Mundhe,6,5,1,5.0,8.0
169,R Price,6,14,0,14.0,8.0
170,J Franklin,12,16,1,8.0,8.0
171,G Maxwell,96,164,3,10.25,8.0
172,M Lange,61,78,2,7.672131147540984,8.0
173,M Samuels,78,79,2,6.076923076923077,8.0
174,K Cooper,97,106,4,6.556701030927835,8.0
175,A Sharma,144,150,6,6.25,9.0
176,D Bracewell,6,7,0,7.0,8.0
177,S Narine,737,759,24,6.179104477611941,9.5
178,H Patel,247,355,9,8.623481781376517,8.0
179,R Bhatkal,6,20,0,20.0,8.0
180,P Awana,270,352,13,7.822222222222223,9.0
181,S Nadeem,295,393,8,7.993220338983051,9.0
182,C McKay,12,26,0,13.0,8.0
183,V Singh,96,132,3,8.25,8.0
184,S Binny,156,190,5,7.307692307692307,9.0
185,G Hogg,48,51,4,6.375,8.0
186,A Mahmood,145,159,6,6.5793103448275865,9.0
187,A Chandila,144,137,10,5.708333333333333,9.0
188,L Wright,6,12,0,12.0,8.0
189,R Peterson,12,10,0,5.0,8.0
190,R Shukla,54,73,4,8.11111111111111,8.0
191,K Appanna,18,25,0,8.333333333333332,8.0
192,B Hilfenhaus,240,233,12,5.825,9.5
193,S Dhawan,18,26,1,8.666666666666666,8.0
194,A Russell,342,450,15,7.894736842105264,9.0
195,T Sudhindra,24,39,0,9.75,8.0
196,A Reddy,6,20,0,20.0,8.0
197,K Upadhyay,36,58,0,9.666666666666668,8.0
198,S Gupta,6,12,0,12.0,8.0
199,M Johnson,621,786,26,7.594202898550725,9.25
200,J Bumrah,690,736,23,6.4,9.5
201,S Badree,158,192,7,7.291139240506329,9.0
