,bowler,balls_bowled,runs_conceeded,wickets,Economy,Rating
0,D Chahar,733,877,32,7.1787175989085945,9.5
1,H Singh,204,283,11,8.323529411764707,8.25
2,Y Chahal,188,223,7,7.117021276595745,9.0
3,N Saini,252,318,7,7.571428571428571,9.0
4,M Ali,30,30,0,6.0,8.0
5,M Krishna,270,390,4,8.666666666666666,8.0
6,P Chawla,198,261,6,7.909090909090908,9.0
7,L Ferguson,51,78,3,9.176470588235293,8.0
8,S Narine,234,277,8,7.102564102564102,9.0
9,B Kumar,396,372,8,5.636363636363637,9.0
10,S Hasan,114,147,7,7.7368421052631575,9.0
11,S Sharma,444,530,14,7.162162162162162,9.5
12,S Kaul,132,216,6,9.818181818181818,8.0
13,R Salam,12,17,0,8.5,8.0
14,M McClenaghan,205,260,11,7.609756097560975,9.0
15,J Bumrah,347,352,14,6.086455331412104,9.5
16,H Pandya,126,195,5,9.285714285714286,8.0
17,T Boult,468,554,23,7.102564102564102,9.5
18,I Sharma,216,244,8,6.777777777777777,9.0
19,K Rabada,249,313,8,7.542168674698796,9.0
20,D Kulkarni,252,342,5,8.142857142857142,8.25
21,K Gowtham,210,276,7,7.885714285714286,9.0
22,J Archer,342,293,17,5.140350877192983,9.5
23,B Stokes,102,171,4,10.058823529411764,8.0
24,S Curran,216,277,4,7.694444444444445,8.5
25,M Rahman,131,145,5,6.641221374045801,9.0
26,M Shami,358,448,10,7.5083798882681565,9.0
27,S Thakur,240,341,7,8.525,8.0
28,A Patel,162,195,6,7.222222222222222,9.0
29,C Varun,48,68,1,8.5,8.0
30,G Viljoen,36,54,2,9.0,8.0
31,A Tye,132,176,8,8.0,9.0
32,R Ashwin,220,278,10,7.581818181818182,9.0
33,A Russell,149,243,6,9.78523489932886,8.0
34,U Yadav,336,414,18,7.392857142857143,9.5
35,M Siraj,169,225,9,7.988165680473372,9.0
36,S Malinga,114,152,2,8.0,8.0
37,K Pandya,211,246,8,6.995260663507109,9.0
38,R Khan,79,97,3,7.367088607594937,8.0
39,S Lamichhane,72,100,5,8.333333333333332,7.25
40,C Morris,192,239,5,7.46875,9.0
41,H Patel,54,84,2,9.333333333333334,8.0
42,M Nabi,102,94,6,5.529411764705882,9.0
43,M Santner,38,59,2,9.31578947368421,8.0
44,A Khan,102,185,3,10.882352941176471,8.0
45,M Sharma,102,145,5,8.529411764705882,8.25
46,J Behrendorff,78,119,3,9.153846153846153,8.0
47,T Southee,133,198,3,8.93233082706767,8.0
48,S Kuggeleijn,6,11,0,11.0,8.0
49,R Chahar,60,80,3,8.0,8.0
50,A Joseph,24,34,1,8.5,8.0
51,A Rajpoot,222,319,7,8.621621621621621,8.0
52,R Jadeja,48,61,2,7.625,8.0
53,J Unadkat,199,278,5,8.381909547738694,8.25
54,M Ashwin,24,38,0,9.5,8.0
55,H Gurney,66,62,2,5.636363636363637,8.0
56,K Ahmed,216,315,11,8.75,8.0
57,A Singh,120,167,4,8.35,8.0
58,I Tahir,18,31,0,10.333333333333334,8.0
59,S Watson,66,104,1,9.454545454545453,8.0
60,M Rahman,48,56,1,7.0,8.0
61,A Mishra,12,32,0,16.0,8.0
62,R Kumar,12,30,0,15.0,8.0
63,K Yadav,25,30,0,7.199999999999999,8.0
64,C Woakes,60,82,3,8.2,8.0
65,W Sundar,169,212,4,7.526627218934911,8.5
66,B Stanlake,48,60,1,7.5,8.0
67,B Laughlin,36,60,3,10.0,8.0
68,T Curran,42,63,1,9.0,8.0
69,S Nadeem,78,136,1,10.461538461538462,8.0
70,P Sangwan,12,19,0,9.5,8.0
71,B Cutting,6,10,0,10.0,8.0
72,K Khejroliya,18,35,0,11.666666666666666,8.0
73,D Christian,6,18,0,18.0,8.0
74,A Dananjaya,6,12,0,12.0,8.0
75,M Johnson,42,82,0,11.714285714285714,8.0
76,B Sran,85,132,0,9.31764705882353,8.0
77,S Mavi,156,216,5,8.307692307692307,8.25
78,C Jordan,48,76,1,9.5,8.0
79,S Binny,18,20,0,6.666666666666667,8.0
80,N Rana,13,6,0,2.769230769230769,8.0
81,G Maxwell,66,93,3,8.454545454545455,8.0
82,L Plunkett,42,69,1,9.857142857142858,8.0
83,P Negi,6,8,1,8.0,8.0
84,B Thampi,18,37,0,12.333333333333332,8.0
85,R Tewatia,6,9,0,9.0,8.0
86,L Ngidi,114,122,6,6.421052631578947,9.0
87,K Asif,24,34,3,8.5,8.0
88,J Duminy,12,28,0,14.0,8.0
89,S Gopal,90,119,7,7.933333333333334,9.0
90,D Willey,24,38,0,9.5,8.0
