,bowler,balls_bowled,runs_conceeded,wickets,Economy,Rating
91,M Stoinis,36,46,3,7.666666666666666,8.0
92,A Sharma,6,11,0,11.0,8.0
93,J Scantlebury-Searles,6,12,0,12.0,8.0
94,C Dala,6,16,0,16.0,8.0
95,K Paul,6,16,0,16.0,8.0
96,J Yadav,36,33,2,5.5,8.0
97,D Steyn,72,88,4,7.333333333333334,8.0
98,H Brar,18,31,0,10.333333333333334,8.0
99,Y Raj,12,32,0,16.0,8.0
100,K Cariappa,6,19,0,19.0,8.0
101,V Aaron,85,132,2,9.31764705882353,8.0
102,O Thomas,36,53,2,8.833333333333334,8.0
103,C Brathwaite,6,5,0,5.0,8.0
104,S Warrier,66,88,2,8.0,8.0
105,R Parag,6,10,1,10.0,8.0
106,J Suchith,12,5,1,2.5,8.0
107,I Sodhi,12,17,2,8.5,8.0
108,D Bravo,6,2,0,2.0,8.0
109,J Pattinson,102,144,4,8.470588235294118,8.0
110,S Cottrell,85,101,4,7.129411764705882,8.0
111,A Nortje,162,210,6,7.777777777777778,9.0
112,T Natarajan,102,116,3,6.823529411764706,8.0
113,M Marsh,4,6,0,9.0,8.0
114,V Shankar,8,13,0,9.75,8.0
115,P Cummins,218,231,8,6.3577981651376145,9.0
116,J Hazlewood,42,35,1,5.0,8.0
117,R Bishnoi,31,43,0,8.322580645161292,8.0
118,J Neesham,24,36,1,9.0,8.0
119,I Udana,54,100,2,11.11111111111111,8.0
120,K Tyagi,72,124,3,10.333333333333334,8.0
121,K Nagarkoti,24,29,0,7.25,8.0
122,T Deshpande,36,60,1,10.0,8.0
123,N Coulter-Nile,42,47,1,6.714285714285714,8.0
124,C Green,12,16,0,8.0,8.0
125,D Sams,30,36,0,7.199999999999999,8.0
126,J Holder,78,107,2,8.23076923076923,8.0
127,M Kumar,6,5,0,5.0,8.0
128,K Jamieson,12,7,0,3.5,8.0
129,M Jansen,6,13,0,13.0,8.0
