,Unnamed: 0,batsmen,balls_faced,runs,strikeRate,Rating
279,279,J Philippe,55,51,92.72727272727272,7.75
280,280,P Singh,8,11,137.5,8.0
281,281,N Jagadeesan,3,1,33.33333333333333,7.75
282,282,T Banton,20,18,90.0,7.75
283,283,A Samad,2,2,100.0,7.75
284,284,R Gaikwad,76,71,93.42105263157895,7.75
285,285,P Garg,12,17,141.66666666666669,8.25
286,286,J Holder,4,4,100.0,7.75
287,287,W Sundar,17,10,58.82352941176471,7.75
288,288,R Patidar,8,8,100.0,7.75
